id,name,picture_url
1017100,A-Bomb (HAS),http://i.annihil.us/u/prod/marvel/i/mg/3/20/5232158de5b16.jpg
1009144,A.I.M.,http://i.annihil.us/u/prod/marvel/i/mg/6/20/52602f21f29ec.jpg
1010699,Aaron Stack,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009146,Abomination (Emil Blonsky),http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04.jpg
1016823,Abomination (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009148,Absorbing Man,http://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7.jpg
1009149,Abyss,http://i.annihil.us/u/prod/marvel/i/mg/9/30/535feab462a64.jpg
1010903,Abyss (Age of Apocalypse),http://i.annihil.us/u/prod/marvel/i/mg/3/80/4c00358ec7548.jpg
1011266,Adam Destine,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010354,Adam Warlock,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/5202887448860.jpg
1010846,Aegis (Trey Rollins),http://i.annihil.us/u/prod/marvel/i/mg/5/e0/4c0035c9c425d.gif
1017851,Aero (Aero),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1012717,Agatha Harkness,http://i.annihil.us/u/prod/marvel/i/mg/c/a0/4ce5a9bf70e19.jpg
1011297,Agent Brand,http://i.annihil.us/u/prod/marvel/i/mg/4/60/52695285d6e7e.jpg
1011031,Agent X (Nijo),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009150,Agent Zero,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c0042121d790.jpg
1011198,Agents of Atlas,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4ce18a834b7f5.jpg
1011175,Aginar,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011136,Air-Walker (Gabriel Lan),http://i.annihil.us/u/prod/marvel/i/mg/a/c0/66f2d68d99dc8.jpg
1011176,Ajak,http://i.annihil.us/u/prod/marvel/i/mg/2/80/4c002f35c5215.jpg
1010870,Ajaxis,http://i.annihil.us/u/prod/marvel/i/mg/b/70/4c0035adc7d3a.jpg
1011194,Akemi,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011170,Alain,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009240,Albert Cleary,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011120,Albion,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010836,Alex Power,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce5a385a2e82.jpg
1010755,Alex Wilder,http://i.annihil.us/u/prod/marvel/i/mg/2/c0/4c00377144d5a.jpg
